Site Section,Sort Type,Template,Category,Site Section 2,Ad Type,Yard,Parking Type,heating,State,City,Zip,Seller Type,School District,Seller Accepts Texts,Photo Count,Year Built,Title,Previous URL,Acres,Square Feet,Newly Built,Seller ID,AD ID,Time Posted,Asking Price,Package Type,Exterior Material,cooling,Bathrooms,Bedrooms,Expire Date,Ad Status,Special Features,Floor Covering,Basement Type,Included Appliances,mls number,Listing ID
homes,not specified,detail page,townhouse/condo,for sale,for sale,not applicable,attached garage|combined garage|2 cars,forced air,ut,providence,84332,by agent,cache,false,3,2019,85 S 437 W #14|Providence|UT|84332,not specified,0,1505,False,2566824,40307343,2019-02-12T16:54:52Z,244000,not specified,clapboardmasonite|stucco,central air,25,3,2019-08-12,active,pool|walkin closet,carpet|laminate,not specified,microwave|range,1579415,40307343
homes,not specified,detail page,single family home,for sale,for sale,fenced full,attached garage|combined garage|2 cars,forced air,ut,roy,84067,by agent,weber,true,9,1987,2796 W 5300 S|Roy|UT|84067,not specified,0.11,1780,False,264018,40314860,2019-03-20T11:18:22Z,259900,not specified,aluminumvinyl|brick,central air,2,4,2019-09-20,active,fireplace woodburning,carpet|linoleum|tile,full finished,range,1581242,40314860
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|1 cars,forced air,ut,sandy,84093,by agent,canyons,true,29,1951,8479 S 1475 E|Sandy|UT|84093,not specified,0.23,1095,False,38222,40314869,2019-03-20T12:38:38Z,275000,not specified,not specified,evaporative cooler,1,3,2019-09-20,active,deck|fireplace woodburning|patio uncovered|sprinklers automatic,not specified,not specified,not specified,22-23-355-00,40314869
homes,not specified,detail page,single family home,for sale,for sale,landscape full,driveway|street parking,forced air,ut,salt lake city,84105,by agent,salt lake city,true,25,1924,1385 S 800 E|Salt Lake City|UT|84105,not specified,0.07,1318,False,1083576,40316846,2019-03-28T17:45:52Z,350000,not specified,brick,central air,1,3,2019-09-28,active,fireplace woodburning|patio covered,carpet|hardwood|tile,shelfcrawl space,range|refrigerator,1589534,40316846
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape back|landscape front,attached garage|combined garage|driveway|3 cars,forced air,ut,erda,84074,by agent,tooele,true,8,2005,1075 Tanglewood Rd|Erda|UT|84074,not specified,4.94,4436,False,381328,40316845,2019-03-28T17:43:53Z,549900,not specified,other|stucco,central air,35,6,2019-09-28,active,deck|fireplace gas,carpet|tile,full finished,microwave|range|refrigerator,1587154,40316845
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|driveway|2 cars,forced air,ut,washington,84780,by agent,washington,true,24,2005,1360 E Telegraph #106|Washington|UT|84780,not specified,0.12,1733,False,2442728,40316842,2019-03-28T17:34:31Z,279500,not specified,stucco,central air,2,3,2019-09-28,active,patio covered|sprinklers automatic|walkin closet,carpet|tile,not specified,microwave|range|refrigerator|washer,19-201627,40316842
homes,not specified,detail page,single family home,for sale,for sale,fenced full,attached garage|combined garage|2 cars,forced air,ut,layton,84041,by owner,davis,true,2,1996,2872 W Lindi Way|Layton|UT|84041,not specified,0.27,3000,False,438696,40316840,2019-03-28T17:28:01Z,347000,select basic,not specified,central air,3,6,2019-09-28,active,sprinklers automatic,carpet|laminate|linoleum|tile,full partially finished,microwave|range,not specified,40316840
homes,not specified,detail page,single family home,for sale,for sale,fenced full,attached garage|combined garage|2 cars,forced air,ut,lehi,84043,by agent,alpine,true,5,2000,587 S 1250 W|Lehi|UT|84043,not specified,0.19,1446,False,121195,40316839,2019-03-28T17:27:43Z,305000,not specified,aluminumvinyl|brick,central air,25,3,2019-09-28,active,sprinklers automatic,carpet|laminate,shelfcrawl space,microwave|range|refrigerator,1564388,40316839
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|2 cars,forced air,ut,lehi,84043,by agent,alpine,true,34,2006,1064 W 875 S|Lehi|UT|84043,not specified,0.17,3617,False,929994,40316430,2019-03-27T11:19:50Z,414900,not specified,stucco,central air,3,5,2019-09-27,active,fireplace gas|sprinklers automatic|walkin closet,carpet|tile,full unfinished,microwave|range,1589044,40316430
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,driveway|street parking,forced air,ut,ogden,84404,by agent,ogden city,true,25,1950,1364 Harrop St|Ogden|UT|84404,not specified,0.26,1301,False,1281300,40316248,2019-03-26T13:53:46Z,220000,not specified,aluminumvinyl,evaporative cooler roof,1,3,2019-09-26,active,fireplace woodburning|patio uncovered|sprinklers automatic,carpet|hardwood|tile,shelfcrawl space,microwave|range|refrigerator,1585190,40316248
homes,not specified,detail page,townhouse/condo,for sale,for sale,not applicable,combined garage|detached garage|1 cars,forced air,ut,st george,84770,by owner,washington,true,13,2006,1845  W Canyon View Dr  2006|St. George|UT|84770,not specified,0,1436,False,3448182,40292045,2019-03-26T21:52:41Z,284900,select basic,stucco,central air,2,2,2019-09-26,active,fireplace gas|hot tub|patio covered|pool|sprinklers automatic|walkin closet,carpet|tile,not specified,dryer|microwave|other|range|refrigerator|washer,not specified,40292045
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|2 cars,forced air,ut,south jordan,84009,by agent,jordan,false,17,2007,5036 W Currant Dr|South Jordan|UT|84009,not specified,0.06,1853,False,516298,40316838,2019-03-28T17:27:10Z,289900,not specified,other,central air,2,3,2019-09-28,active,patio uncovered|sprinklers automatic,carpet|tile,full finished,microwave|range,1589543,40316838
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|3 cars,forced air,ut,plain city,84404,by agent,weber,true,26,2014,2007 N 4900 W|Plain City|UT|84404,not specified,0.36,5267,False,193627,40316028,2019-03-25T15:57:56Z,574900,not specified,not specified,central air,4,4,2019-09-25,active,not specified,not specified,not specified,not specified,1588664,40316028
homes,not specified,detail page,single family home,for sale,for sale,landscape none,attached garage|combined garage|3 cars,forced air,ut,nibley,84321,by agent,cache,false,25,2018,499 W 3220 S|Nibley|UT|84321,not specified,0.36,3600,False,2566824,40267381,2018-08-17T15:16:44Z,359900,not specified,aluminumvinyl|clapboardmasonite|stucco,central air,25,4,2019-02-17,active,walkin closet,carpet|laminate|tile,full unfinished,microwave|range,1544336,40267381
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|2 cars,forced air,ut,spanish fork,84660,by agent,nebo,false,12,2002,2726 Stony Hill Way|Spanish Fork|UT|84660,not specified,0.21,2974,False,2406216,40316218,2019-03-26T11:52:19Z,339800,not specified,aluminumvinyl|other|stucco,central air,3,5,2019-09-26,active,fireplace other,carpet|laminate|tile,full finished,microwave|refrigerator,1588791,40316218
